"userid","outlet_type","brand_name","business_category","date"
663730,"online","Daraz","Market Place","2023-06-20"
663730,"online","Daraz","Market Place","2023-06-21"
663730,"online","Daraz","Market Place","2023-06-23"
665854,"online","foodpanda","Food & Restaurants","2023-06-20"
696319,"online","Al Rehman Biryani","Food & Restaurants","2023-05-03"
883198,"online","Daraz","Market Place","2023-06-09"
883198,"online","foodpanda","Food & Restaurants","2023-06-11"
883198,"online","foodpanda","Food & Restaurants","2023-06-12"
883198,"online","foodpanda","Food & Restaurants","2023-06-13"
883198,"online","foodpanda","Food & Restaurants","2023-06-14"
883198,"online","foodpanda","Food & Restaurants","2023-07-10"
883198,"online","foodpanda","Food & Restaurants","2023-07-15"
889899,"online","foodpanda","Food & Restaurants","2023-07-19"
926122,"online","foodpanda","Food & Restaurants","2023-06-24"
946885,"online","foodpanda","Food & Restaurants","2023-07-25"
970712,"online","foodpanda","Food & Restaurants","2023-07-27"
970833,"online","Daraz","Market Place","2023-07-21"
970833,"online","Pizza Max","Food & Restaurants","2023-07-20"
970833,"online","foodpanda","Food & Restaurants","2023-07-30"
1046962,"online","Naheed.pk","Stores & Grocery","2023-07-13"
1046962,"online","Naheed.pk","Stores & Grocery","2023-07-14"
1068998,"online","Hobnob","Food & Restaurants","2023-07-22"
1068998,"online","Hobnob","Food & Restaurants","2023-07-30"
1080241,"online","Burger O'Clock","Food & Restaurants","2023-05-28"
1205751,"online","Bin Hashim","Stores & Grocery","2023-06-08"
1205751,"online","Daraz","Market Place","2023-06-10"
1205751,"online","Krave Mart","Stores & Grocery","2023-06-06"
1205751,"online","Krave Mart","Stores & Grocery","2023-06-07"
1205751,"online","Krave Mart","Stores & Grocery","2023-06-12"
1217971,"online","foodpanda","Food & Restaurants","2023-05-06"
1243569,"online","Daraz","Market Place","2023-07-20"
1243569,"online","Daraz","Market Place","2023-07-21"
1249772,"online","foodpanda","Food & Restaurants","2023-06-04"
1335548,"online","foodpanda","Food & Restaurants","2023-05-01"
1350520,"instore","Dvago","Health & Fitness","2023-06-17"
1350520,"instore","Dvago","Health & Fitness","2023-06-26"
1350520,"instore","Dvago","Health & Fitness","2023-07-08"
1350520,"instore","Dvago","Health & Fitness","2023-07-25"
1358668,"online","Alkaram Studio","Fashion","2023-06-03"
1358668,"online","Arvelon Cosmetics","Health, Beauty & Gifts","2023-07-27"
1358668,"online","Astore.pk","Fashion","2023-07-20"
1358668,"online","Audrey Jewels","Fashion","2023-07-20"
1358668,"online","Caesars Pizza","Food & Restaurants","2023-07-30"
1358668,"online","Daraz","Market Place","2023-06-07"
1358668,"online","Daraz","Market Place","2023-06-12"
1358668,"online","Daraz","Market Place","2023-06-18"
1358668,"online","Krave Mart","Stores & Grocery","2023-05-27"
1358668,"online","Krave Mart","Stores & Grocery","2023-06-03"
1358668,"online","Krave Mart","Stores & Grocery","2023-06-10"
1358668,"online","Krave Mart","Stores & Grocery","2023-06-16"
1358668,"online","Krave Mart","Stores & Grocery","2023-06-25"
1358668,"online","Krave Mart","Stores & Grocery","2023-06-30"
1358668,"online","Krave Mart","Stores & Grocery","2023-07-05"
1358668,"online","Krave Mart","Stores & Grocery","2023-07-06"
1358668,"online","Krave Mart","Stores & Grocery","2023-07-08"
1358668,"online","Krave Mart","Stores & Grocery","2023-07-11"
1358668,"online","Krave Mart","Stores & Grocery","2023-07-15"
1358668,"online","Krave Mart","Stores & Grocery","2023-07-16"
1358668,"online","Krave Mart","Stores & Grocery","2023-07-20"
1358668,"online","Krave Mart","Stores & Grocery","2023-07-23"
1358668,"online","Krave Mart","Stores & Grocery","2023-07-27"
1358668,"online","Krave Mart","Stores & Grocery","2023-07-29"
1358668,"online","Saeed Ghani","Health, Beauty & Gifts","2023-07-03"
1358668,"online","foodpanda","Food & Restaurants","2023-06-16"
1455390,"online","foodpanda","Food & Restaurants","2023-06-19"
1469205,"online","Daraz","Market Place","2023-06-11"
1479170,"online","Metro Cash & Carry","Stores & Grocery","2023-06-28"
1556536,"online","Daraz","Market Place","2023-05-16"
1556536,"online","Daraz","Market Place","2023-05-17"
1556536,"online","Daraz","Market Place","2023-05-24"
1556536,"online","Daraz","Market Place","2023-06-23"
1556536,"online","Daraz","Market Place","2023-06-24"
1556536,"online","Daraz","Market Place","2023-07-11"
1556536,"online","Daraz","Market Place","2023-07-20"
1579740,"online","foodpanda","Food & Restaurants","2023-07-09"
1596372,"online","foodpanda","Food & Restaurants","2023-07-19"
1649404,"online","Paras Art Fever","Others","2023-07-11"
1649900,"online","Daraz","Market Place","2023-06-24"
1650653,"online","foodpanda","Food & Restaurants","2023-07-18"
1650653,"online","foodpanda","Food & Restaurants","2023-07-21"
1652522,"online","Saeed Ghani","Health, Beauty & Gifts","2023-06-28"
1674987,"online","foodpanda","Food & Restaurants","2023-06-19"
1677867,"online","Daraz","Market Place","2023-06-20"
1677867,"online","Daraz","Market Place","2023-06-21"
1705250,"online","Daraz","Market Place","2023-07-24"
1705250,"online","Daraz","Market Place","2023-07-26"
1712139,"online","foodpanda","Food & Restaurants","2023-06-12"
1754692,"online","Pizza Max","Food & Restaurants","2023-07-29"
1757318,"online","Saeed Ghani","Health, Beauty & Gifts","2023-05-29"
1775933,"online","Daraz","Market Place","2023-07-02"
1799778,"online","foodpanda","Food & Restaurants","2023-07-26"
1841205,"instore","Shahzeb Saeed","Fashion","2023-07-22"
1850565,"instore","Pizza Max","Food & Restaurants","2023-07-23"
1850565,"online","Krave Mart","Stores & Grocery","2023-06-11"
1850565,"online","Krave Mart","Stores & Grocery","2023-07-08"
1850565,"online","Pizza Max","Food & Restaurants","2023-07-17"
1853180,"online","foodpanda","Food & Restaurants","2023-07-05"
1861105,"online","Daraz","Market Place","2023-06-17"
1861105,"online","Daraz","Market Place","2023-07-17"
1861105,"online","Daraz","Market Place","2023-07-30"
1861753,"online","Daraz","Market Place","2023-06-17"
1866058,"online","Daraz","Market Place","2023-06-12"
1876031,"online","Daraz","Market Place","2023-07-17"
1892750,"online","Daraz","Market Place","2023-07-26"
1902346,"online","Daraz","Market Place","2023-06-23"
1902346,"online","Daraz","Market Place","2023-07-01"
1902346,"online","Daraz","Market Place","2023-07-03"
1903554,"instore","Pizza Max","Food & Restaurants","2023-06-28"
1903554,"online","Daraz","Market Place","2023-05-28"
1903554,"online","Krave Mart","Stores & Grocery","2023-05-02"
1903554,"online","Krave Mart","Stores & Grocery","2023-05-05"
1903554,"online","Krave Mart","Stores & Grocery","2023-05-07"
1903554,"online","Krave Mart","Stores & Grocery","2023-05-11"
1903554,"online","Krave Mart","Stores & Grocery","2023-05-31"
1903554,"online","Krave Mart","Stores & Grocery","2023-06-19"
1903554,"online","Metro Cash & Carry","Stores & Grocery","2023-05-07"
1903554,"online","Metro Cash & Carry","Stores & Grocery","2023-07-04"
1903554,"online","Metro Cash & Carry","Stores & Grocery","2023-07-05"
1909577,"online","foodpanda","Food & Restaurants","2023-06-05"
1911415,"online","Daraz","Market Place","2023-07-20"
1911415,"online","Daraz","Market Place","2023-07-23"
1911415,"online","Metro Cash & Carry","Stores & Grocery","2023-07-13"
1911415,"online","Metro Cash & Carry","Stores & Grocery","2023-07-17"
1912541,"online","Daraz","Market Place","2023-06-01"
1912541,"online","Daraz","Market Place","2023-06-05"
1912541,"online","Daraz","Market Place","2023-06-06"
1912541,"online","HYDRI SUPER MARKET","Stores & Grocery","2023-06-03"
1925362,"online","Mistore","Electronics & Home Appliances","2023-07-30"
1935789,"online","foodpanda","Food & Restaurants","2023-06-19"
1939983,"online","Daraz","Market Place","2023-05-23"
1939983,"online","Daraz","Market Place","2023-06-22"
1939983,"online","Daraz","Market Place","2023-06-26"
1939983,"online","Daraz","Market Place","2023-07-17"
1939983,"online","Daraz","Market Place","2023-07-21"
1939983,"online","Daraz","Market Place","2023-07-25"
1939983,"online","foodpanda","Food & Restaurants","2023-05-28"
1939983,"online","foodpanda","Food & Restaurants","2023-07-23"
1940083,"online","foodpanda","Food & Restaurants","2023-07-23"
1961494,"online","foodpanda","Food & Restaurants","2023-06-26"
1961494,"online","foodpanda","Food & Restaurants","2023-07-03"
1962530,"instore","Pizza Max","Food & Restaurants","2023-05-20"
1962530,"instore","Pizza Max","Food & Restaurants","2023-05-21"
1962530,"instore","Pizza Max","Food & Restaurants","2023-05-28"
1962530,"instore","Pizza Max","Food & Restaurants","2023-05-29"
1962530,"instore","Pizza Max","Food & Restaurants","2023-06-01"
1962530,"instore","Pizza Max","Food & Restaurants","2023-06-08"
1962530,"instore","Pizza Max","Food & Restaurants","2023-06-09"
1962530,"instore","Pizza Max","Food & Restaurants","2023-06-11"
1962530,"instore","Pizza Max","Food & Restaurants","2023-06-12"
1962530,"instore","Pizza Max","Food & Restaurants","2023-06-13"
1962530,"instore","Pizza Max","Food & Restaurants","2023-06-15"
1962530,"instore","Pizza Max","Food & Restaurants","2023-06-16"
1962530,"instore","Pizza Max","Food & Restaurants","2023-06-18"
1964046,"instore","IDEAS","Fashion","2023-06-23"
1964046,"online","foodpanda","Food & Restaurants","2023-06-26"
1966951,"online","Audionic","Electronics & Home Appliances","2023-07-22"
1966951,"online","Daraz","Market Place","2023-06-08"
1966951,"online","Daraz","Market Place","2023-07-17"
1966951,"online","Daraz","Market Place","2023-07-23"
2011100,"online","Daraz","Market Place","2023-06-27"
2011100,"online","Daraz","Market Place","2023-07-05"
2011100,"online","Daraz","Market Place","2023-07-09"
2011346,"online","Daraz","Market Place","2023-06-25"
2030638,"online","foodpanda","Food & Restaurants","2023-05-06"
2043943,"online","foodpanda","Food & Restaurants","2023-07-13"
2052219,"online","Daraz","Market Place","2023-06-11"
2052219,"online","foodpanda","Food & Restaurants","2023-05-20"
2052219,"online","foodpanda","Food & Restaurants","2023-05-27"
2052219,"online","foodpanda","Food & Restaurants","2023-05-28"
2052219,"online","foodpanda","Food & Restaurants","2023-06-04"
2059252,"online","Daraz","Market Place","2023-07-13"
2086154,"online","foodpanda","Food & Restaurants","2023-05-25"
2086154,"online","foodpanda","Food & Restaurants","2023-06-07"
2089752,"online","foodpanda","Food & Restaurants","2023-06-15"
2089752,"online","foodpanda","Food & Restaurants","2023-06-25"
2097611,"online","Daraz","Market Place","2023-07-29"
2104410,"online","foodpanda","Food & Restaurants","2023-07-27"
2107706,"online","Daraz","Market Place","2023-05-16"
2121053,"online","Karachi Fried House","Food & Restaurants","2023-05-07"
2121053,"online","Krave Mart","Stores & Grocery","2023-05-04"
2121053,"online","Krave Mart","Stores & Grocery","2023-05-14"
2121053,"online","Krave Mart","Stores & Grocery","2023-06-10"
2121455,"online","Yellow Taxi Pizza","Food & Restaurants","2023-07-18"
2125425,"online","foodpanda","Food & Restaurants","2023-06-19"
2139245,"online","Daraz","Market Place","2023-06-09"
2140636,"online","Ordernation","Electronics & Home Appliances","2023-06-24"
2148600,"online","AliExpress","Market Place","2023-06-20"
2148600,"online","IDEAS","Fashion","2023-06-01"
2148600,"online","Orient Textile","Fashion","2023-06-18"
2156249,"online","foodpanda","Food & Restaurants","2023-06-13"
2157674,"online","Bata","Fashion","2023-07-30"
2157674,"online","Krave Mart","Stores & Grocery","2023-07-15"
2157674,"online","Krave Mart","Stores & Grocery","2023-07-27"
2157674,"online","foodpanda","Food & Restaurants","2023-07-18"
2157674,"online","foodpanda","Food & Restaurants","2023-07-27"
2160269,"online","Daraz","Market Place","2023-05-15"
2164198,"online","Daraz","Market Place","2023-06-01"
2167029,"online","Daraz","Market Place","2023-05-28"
2167029,"online","Daraz","Market Place","2023-05-30"
2167029,"online","Daraz","Market Place","2023-06-18"
2170444,"online","Daraz","Market Place","2023-06-12"
2196546,"online","Faster Pakistan","Electronics & Home Appliances","2023-06-27"
2208743,"online","Daraz","Market Place","2023-07-03"
2220175,"online","foodpanda","Food & Restaurants","2023-07-26"
2220175,"online","foodpanda","Food & Restaurants","2023-07-27"
2220175,"online","foodpanda","Food & Restaurants","2023-07-28"
2220175,"online","foodpanda","Food & Restaurants","2023-07-29"
2220175,"online","foodpanda","Food & Restaurants","2023-07-30"
2220175,"online","foodpanda","Food & Restaurants","2023-07-31"
2220479,"online","Daraz","Market Place","2023-07-02"
2234110,"online","AliExpress","Market Place","2023-07-28"
2270261,"online","foodpanda","Food & Restaurants","2023-06-25"
2281866,"online","Daraz","Market Place","2023-07-15"
2285780,"online","IDEAS","Fashion","2023-07-18"
2287218,"online","foodpanda","Food & Restaurants","2023-07-25"
2288299,"online","Daraz","Market Place","2023-06-18"
2288299,"online","Daraz","Market Place","2023-07-10"
2290102,"online","Daraz","Market Place","2023-07-14"
2290627,"online","foodpanda","Food & Restaurants","2023-06-01"
2291674,"instore","Delhi Rabri House","Food & Restaurants","2023-07-01"
2291674,"online","SPAR","Stores & Grocery","2023-06-28"
2293595,"instore","Koffie Chalet","Food & Restaurants","2023-06-28"
2293595,"instore","Shahzeb Saeed","Fashion","2023-07-02"
2296349,"online","foodpanda","Food & Restaurants","2023-07-02"
2300076,"online","foodpanda","Food & Restaurants","2023-07-04"
2300076,"online","foodpanda","Food & Restaurants","2023-07-06"
2300076,"online","foodpanda","Food & Restaurants","2023-07-29"
2306329,"online","foodpanda","Food & Restaurants","2023-05-09"
2316794,"online","Daraz","Market Place","2023-06-22"
2316794,"online","Daraz","Market Place","2023-07-15"
2320822,"online","Daraz","Market Place","2023-07-01"
2348109,"online","Daraz","Market Place","2023-07-18"
2348494,"online","Rehmat-e-Shereen","Food & Restaurants","2023-07-06"
2377923,"online","Krave Mart","Stores & Grocery","2023-06-04"
2377923,"online","foodpanda","Food & Restaurants","2023-05-13"
2377923,"online","foodpanda","Food & Restaurants","2023-05-28"
2377923,"online","foodpanda","Food & Restaurants","2023-05-31"
2377923,"online","foodpanda","Food & Restaurants","2023-06-11"
2377923,"online","foodpanda","Food & Restaurants","2023-06-21"
2377923,"online","foodpanda","Food & Restaurants","2023-06-25"
2377923,"online","foodpanda","Food & Restaurants","2023-06-30"
2377923,"online","foodpanda","Food & Restaurants","2023-07-30"
2402999,"online","foodpanda","Food & Restaurants","2023-06-25"
2406884,"online","Hobnob","Food & Restaurants","2023-06-16"
2406884,"online","foodpanda","Food & Restaurants","2023-06-23"
2406884,"online","foodpanda","Food & Restaurants","2023-06-24"
2409519,"online","foodpanda","Food & Restaurants","2023-07-05"
2409519,"online","foodpanda","Food & Restaurants","2023-07-08"
2409519,"online","foodpanda","Food & Restaurants","2023-07-15"
2409519,"online","foodpanda","Food & Restaurants","2023-07-16"
2409519,"online","foodpanda","Food & Restaurants","2023-07-18"
2413032,"online","foodpanda","Food & Restaurants","2023-05-26"
2414258,"online","Cozmetica","Health, Beauty & Gifts","2023-07-17"
2414258,"online","Daraz","Market Place","2023-07-22"
2414258,"online","Daraz","Market Place","2023-07-23"
2414258,"online","Faster Pakistan","Electronics & Home Appliances","2023-07-17"
2414258,"online","Highfy","Health, Beauty & Gifts","2023-07-27"
2414258,"online","IFG","Fashion","2023-06-19"
2414258,"online","IFG","Fashion","2023-07-17"
2414258,"online","Kohasaa","Health, Beauty & Gifts","2023-07-17"
2414258,"online","Kohasaa","Health, Beauty & Gifts","2023-07-18"
2414258,"online","Kravious","Stores & Grocery","2023-07-17"
2414258,"online","Metro shoes","Fashion","2023-07-17"
2414258,"online","Naheed.pk","Stores & Grocery","2023-07-24"
2414258,"online","Rhizmall","Electronics & Home Appliances","2023-07-17"
2414258,"online","Rivaj","Health, Beauty & Gifts","2023-07-18"
2414258,"online","Saeed Ghani","Health, Beauty & Gifts","2023-07-17"
2414258,"online","Simply Sufi","Stores & Grocery","2023-07-17"
2414258,"online","The Hijab Company","Fashion","2023-07-18"
2414258,"online","VINCE","Health, Beauty & Gifts","2023-07-13"
2414258,"online","elo","Fashion","2023-07-17"
2414258,"online","elo","Fashion","2023-07-22"
2414258,"online","elo","Fashion","2023-07-30"
2414258,"online","foodpanda","Food & Restaurants","2023-07-05"
2414258,"online","foodpanda","Food & Restaurants","2023-07-23"
2414258,"online","foodpanda","Food & Restaurants","2023-07-28"
2414258,"online","urbansole","Fashion","2023-07-17"
2415966,"online","Daraz","Market Place","2023-07-05"
2430178,"online","elo","Fashion","2023-07-06"
2430572,"online","Daraz","Market Place","2023-05-05"
2445961,"online","foodpanda","Food & Restaurants","2023-05-28"
2445961,"online","foodpanda","Food & Restaurants","2023-06-01"
2445961,"online","foodpanda","Food & Restaurants","2023-06-03"
2445961,"online","foodpanda","Food & Restaurants","2023-06-10"
2445961,"online","foodpanda","Food & Restaurants","2023-06-20"
2445961,"online","foodpanda","Food & Restaurants","2023-07-22"
2449833,"online","Daraz","Market Place","2023-06-16"
2463673,"online","Burger O'Clock","Food & Restaurants","2023-05-17"
2463673,"online","foodpanda","Food & Restaurants","2023-05-21"
2469586,"online","IDEAS","Fashion","2023-05-13"
2469586,"online","IDEAS","Fashion","2023-05-14"
2475927,"instore","Dvago","Health & Fitness","2023-05-08"
2491155,"instore","IDEAS","Fashion","2023-06-25"
2491155,"instore","IDEAS","Fashion","2023-07-13"
2491247,"online","Edenrobe","Fashion","2023-05-06"
2493377,"online","Daraz","Market Place","2023-05-09"
2518532,"online","Daraz","Market Place","2023-06-14"
2530712,"online","ChiltanPure","Health, Beauty & Gifts","2023-07-23"
2558841,"online","Daraz","Market Place","2023-07-10"
2617097,"instore","Dvago","Health & Fitness","2023-07-06"
2617097,"instore","IDEAS","Fashion","2023-06-10"
2617097,"online","Rehmat-e-Shereen","Food & Restaurants","2023-06-18"
2617097,"online","Rehmat-e-Shereen","Food & Restaurants","2023-07-01"
2617097,"online","foodpanda","Food & Restaurants","2023-07-08"
2617097,"online","foodpanda","Food & Restaurants","2023-07-30"
2636612,"online","foodpanda","Food & Restaurants","2023-06-16"
2668426,"online","foodpanda","Food & Restaurants","2023-06-08"
2669171,"online","Daraz","Market Place","2023-06-25"
2702888,"online","Daraz","Market Place","2023-07-28"
2726645,"online","Frakinstore","Fashion","2023-07-05"
2771728,"instore","Dvago","Health & Fitness","2023-06-25"
2828484,"online","Jenpharm","Health & Fitness","2023-07-09"
2838378,"online","Daraz","Market Place","2023-06-18"
2838378,"online","Daraz","Market Place","2023-06-19"
2838378,"online","foodpanda","Food & Restaurants","2023-05-24"
2841168,"online","Krave Mart","Stores & Grocery","2023-07-24"
2851188,"online","Daraz","Market Place","2023-07-04"
2851188,"online","Daraz","Market Place","2023-07-06"
2857510,"online","Daraz","Market Place","2023-05-06"
2857510,"online","Daraz","Market Place","2023-05-08"
2857510,"online","Daraz","Market Place","2023-05-09"
2939179,"online","RTW Creation","Fashion","2023-06-18"
2972070,"online","foodpanda","Food & Restaurants","2023-06-05"
3004434,"online","Daraz","Market Place","2023-07-23"
3103573,"online","Daraz","Market Place","2023-06-26"
3103573,"online","Karachi Fried House","Food & Restaurants","2023-05-24"
3103573,"online","Karachi Fried House","Food & Restaurants","2023-05-25"
3103573,"online","Karachi Fried House","Food & Restaurants","2023-06-10"
3103573,"online","Krave Mart","Stores & Grocery","2023-05-28"
3103573,"online","Krave Mart","Stores & Grocery","2023-06-30"
3103573,"online","Krave Mart","Stores & Grocery","2023-07-08"
3165744,"online","Krave Mart","Stores & Grocery","2023-05-07"
3172668,"instore","OPTP","Food & Restaurants","2023-06-20"
3172668,"instore","OPTP","Food & Restaurants","2023-07-08"
3172668,"instore","OPTP","Food & Restaurants","2023-07-09"
3179313,"online","Daraz","Market Place","2023-05-24"
3181123,"online","Krave Mart","Stores & Grocery","2023-05-06"
3194092,"online","DUNKIN","Food & Restaurants","2023-06-24"
3194092,"online","Hot N Spicy","Food & Restaurants","2023-06-26"
3199828,"instore","Karachi Haleem","Food & Restaurants","2023-05-11"
3199828,"instore","Karachi Haleem","Food & Restaurants","2023-05-13"
3199828,"instore","Karachi Haleem","Food & Restaurants","2023-05-16"
3199828,"instore","Karachi Haleem","Food & Restaurants","2023-05-18"
3199828,"instore","Karachi Haleem","Food & Restaurants","2023-05-19"
3199828,"instore","Karachi Haleem","Food & Restaurants","2023-05-21"
3199828,"instore","Karachi Haleem","Food & Restaurants","2023-05-24"
3199828,"instore","Karachi Haleem","Food & Restaurants","2023-06-03"
3199828,"instore","Karachi Haleem","Food & Restaurants","2023-06-09"
3199828,"instore","Karachi Haleem","Food & Restaurants","2023-06-10"
3199828,"instore","Karachi Haleem","Food & Restaurants","2023-06-11"
3199828,"instore","Karachi Haleem","Food & Restaurants","2023-06-12"
3270206,"online","foodpanda","Food & Restaurants","2023-06-01"
3340458,"instore","OD","Food & Restaurants","2023-07-21"
3411445,"online","Bata","Fashion","2023-07-12"
3411445,"online","Bata","Fashion","2023-07-16"
3411445,"online","Bata","Fashion","2023-07-19"
3411445,"online","Daraz","Market Place","2023-06-19"
3411445,"online","Daraz","Market Place","2023-07-05"
3411445,"online","Daraz","Market Place","2023-07-06"
3411445,"online","Daraz","Market Place","2023-07-16"
3411445,"online","Daraz","Market Place","2023-07-19"
3411445,"online","Daraz","Market Place","2023-07-24"
3411445,"online","Daraz","Market Place","2023-07-26"
3411445,"online","Saeed Ghani","Health, Beauty & Gifts","2023-07-21"
3411445,"online","foodpanda","Food & Restaurants","2023-06-21"
3411445,"online","foodpanda","Food & Restaurants","2023-06-22"
3411445,"online","foodpanda","Food & Restaurants","2023-06-24"
3411445,"online","foodpanda","Food & Restaurants","2023-06-25"
3411445,"online","foodpanda","Food & Restaurants","2023-06-26"
3411445,"online","foodpanda","Food & Restaurants","2023-07-01"
3411445,"online","foodpanda","Food & Restaurants","2023-07-06"
3411445,"online","foodpanda","Food & Restaurants","2023-07-10"
3411445,"online","foodpanda","Food & Restaurants","2023-07-13"
3411445,"online","foodpanda","Food & Restaurants","2023-07-14"
3411445,"online","foodpanda","Food & Restaurants","2023-07-18"
3411445,"online","foodpanda","Food & Restaurants","2023-07-20"
3411445,"online","foodpanda","Food & Restaurants","2023-07-26"
3489095,"online","foodpanda","Food & Restaurants","2023-07-01"
3492698,"online","Miss Rose Pakistan","Health, Beauty & Gifts","2023-05-08"
3492920,"online","Jenpharm","Health & Fitness","2023-05-07"
3493614,"online","Naheed.pk","Stores & Grocery","2023-06-17"
3497776,"online","foodpanda","Food & Restaurants","2023-05-28"
3497776,"online","foodpanda","Food & Restaurants","2023-05-30"
3497776,"online","foodpanda","Food & Restaurants","2023-06-03"
3497776,"online","foodpanda","Food & Restaurants","2023-06-06"
3497776,"online","foodpanda","Food & Restaurants","2023-06-10"
3540583,"online","Daraz","Market Place","2023-05-24"
3540583,"online","Daraz","Market Place","2023-05-26"
3540583,"online","foodpanda","Food & Restaurants","2023-05-26"
3540583,"online","foodpanda","Food & Restaurants","2023-06-14"
3568617,"online","Day Night Pizza","Food & Restaurants","2023-07-30"
3573550,"online","Alkaram Studio","Fashion","2023-05-10"
3597372,"online","Daraz","Market Place","2023-05-08"
3597372,"online","Daraz","Market Place","2023-05-09"
3604822,"instore","California Pizza","Food & Restaurants","2023-07-10"
3607318,"online","foodpanda","Food & Restaurants","2023-06-21"
3643692,"online","Daraz","Market Place","2023-05-26"
3643692,"online","Daraz","Market Place","2023-05-30"
3643693,"online","foodpanda","Food & Restaurants","2023-06-14"
3643705,"online","foodpanda","Food & Restaurants","2023-05-01"
3643751,"online","Pizza Max","Food & Restaurants","2023-06-18"
3643786,"online","foodpanda","Food & Restaurants","2023-05-09"
3643811,"online","Daraz","Market Place","2023-06-28"
3643811,"online","Highfy","Health, Beauty & Gifts","2023-07-29"
3643820,"online","SAYA","Fashion","2023-05-01"
3643860,"online","foodpanda","Food & Restaurants","2023-05-01"
3643871,"online","Daraz","Market Place","2023-05-14"
3643884,"online","Pizza Max","Food & Restaurants","2023-06-02"
3643884,"online","foodpanda","Food & Restaurants","2023-05-22"
3643884,"online","foodpanda","Food & Restaurants","2023-06-24"
3643889,"online","Daraz","Market Place","2023-05-30"
3643892,"online","Naheed.pk","Stores & Grocery","2023-05-04"
3643907,"online","Daraz","Market Place","2023-05-03"
3643912,"instore","IDEAS","Fashion","2023-06-18"
3643912,"online","foodpanda","Food & Restaurants","2023-06-18"
3643912,"online","foodpanda","Food & Restaurants","2023-07-13"
3643912,"online","foodpanda","Food & Restaurants","2023-07-14"
3643912,"online","foodpanda","Food & Restaurants","2023-07-23"
3643922,"online","foodpanda","Food & Restaurants","2023-05-02"
3643970,"online","Conatural","Health, Beauty & Gifts","2023-05-01"
3643970,"online","Daraz","Market Place","2023-06-23"
3643970,"online","NDURE","Fashion","2023-06-23"
3643970,"online","elo","Fashion","2023-06-23"
3644007,"online","Daraz","Market Place","2023-05-01"
3644091,"online","Daraz","Market Place","2023-05-01"
3644112,"online","California Pizza","Food & Restaurants","2023-07-17"
3644129,"online","Daraz","Market Place","2023-05-03"
3644129,"online","Daraz","Market Place","2023-05-07"
3644136,"online","Daraz","Market Place","2023-05-18"
3644136,"online","Daraz","Market Place","2023-05-25"
